LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD
"e $150,000-350,000","DYNAMIC RESEARCH TECHNOLOGIES, LLC",5295 300th St,ALBANY,MO,64402,332992,Partnership,Unanswered,Unanswered,Unanswered,,36,04/08/2020,BTC Bank,MO-06
"d $350,000-1 million",INNER CIRCLE FOSTER FAMILY AGENCY,981 CORPORATE CENTER DRIVE SUITE 140,POMONA,CA,91768,623990,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,05/03/2020,"Wells Fargo Bank, National Association",CA-35
"d $350,000-1 million",C&C CLEAN TEAM ENTERPRISES LLC,2016 Madison Rd,Cincinnati,OH,45208,812320,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,159,04/14/2020,"PNC Bank, National Association",OH-02
"e $150,000-350,000","SARTIN'S VITAL CARE, INC.",1311 BROAD AVE,GULFPORT,MS,39501,446110,Corporation,Unanswered,Unanswered,Unanswered,,12,04/16/2020,Hancock Whitney Bank,MS-04
"e $150,000-350,000",HASNER LLC,1436 GLENOAKS BLVD W,GLENDALE,CA,91201,531210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9,06/23/2020,"U.S. Bank, National Association",CA-28
"d $350,000-1 million","OLSEN CHAIN & CABLE, INC.",7225 Washington Ave,MINNEAPOLIS,MN,55439,423840,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,36,04/07/2020,The First National Bank of Cokato,MN-03
"e $150,000-350,000",VESUVIO FOODS INC.,1005 Brown Ave,Lafayette,CA,94549,722511,Subchapter S Corporation,Unanswered,Unanswered,Non-Veteran,,29,04/12/2020,First Republic Bank,CA-11
"e $150,000-350,000","SCOTT F. MEIER, D.D.S., P.A.",500 UNIVERSITY BLVD SUITE 112,JUPITER,FL,33458,621210,Subchapter S Corporation,Unanswered,Male Owned,Veteran,,20,04/15/2020,Professional Bank,FL-18
"e $150,000-350,000","SOUTHEAST CRANE AND HOIST, LLC",3901 Research Way,Pell City,AL,35125,811310,Corporation,Unanswered,Unanswered,Unanswered,,0,04/30/2020,Truist Bank d/b/a Branch Banking & Trust Co,AL-03
"d $350,000-1 million",PANCHO HOLDING LLC,324 FRANKLIN ST,CLARKSVILLE,TN,37040,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/28/2020,F&M Bank,TN-07
"e $150,000-350,000",SWISS CHALET BAKERY AND CAFE INC,159 South St,MORRISTOWN,NJ,07960,311811,Corporation,Unanswered,Unanswered,Unanswered,,25,04/14/2020,Lakeland Bank,NJ-11
"e $150,000-350,000",COLONIAL INSURANCE AGENCY INC,1101 AVE MUNOZ RIVERA,SAN JUAN,PR,00925,524210,Corporation,Unanswered,Unanswered,Unanswered,,40,04/15/2020,FirstBank Puerto Rico,PR-00
"e $150,000-350,000","CENTRAL FLORIDA HEALTH CLUBS, LLC",7733 TURKEY LAKE ROAD,ORLANDO,FL,32819,713940,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,,05/03/2020,"Wells Fargo Bank, National Association",FL-10
b $2-5 million,"MALONEY MANAGEMENT, LLC",705 Robert E Lee Dr,TUPELO,MS,38801,236220,Corporation,Unanswered,Unanswered,Unanswered,,229,04/28/2020,Regions Bank,MS-01
"e $150,000-350,000",BRUNSWICK WOODWORKING CO INC,9639 DOCTOR PERRY RD,IJAMSVILLE,MD,21754,321918,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,21,05/03/2020,"PNC Bank, National Association",MD-06
"e $150,000-350,000",OMNICARE MEDICAL GROUP INC,36 NEWARK AVE STE 300,BELLEVILLE,NJ,07109,621999,Corporation,Unanswered,Unanswered,Unanswered,,24,05/03/2020,"Bank of America, National Association",NJ-08
"d $350,000-1 million",FAME SKY INVESTMENTS (US) LIMITED,1600 E FRANCISQUITO AVE 0,WEST COVINA,CA,91791,523920,Corporation,Unanswered,Unanswered,Unanswered,,67,04/27/2020,"Citibank, N.A.",CA-32
"e $150,000-350,000",KONG TOFU CORP.,19626 STEVENS BLVD,CUPERTINO,CA,95014,999990,Corporation,Unanswered,Male Owned,Non-Veteran,,13,05/03/2020,"U.S. Bank, National Association",CA-17
"d $350,000-1 million","ELITE CARE EMPLOYEE GROUP, INC.",4444 SE Oatfield Hill Rd,PORTLAND,OR,97267,623311,Corporation,Unanswered,Male Owned,Non-Veteran,,107,04/12/2020,KeyBank National Association,OR-05
"d $350,000-1 million",BRAGANZA PEARL TEA LLC,4510 68TH DR NE,VANCOUVER,WA,98661,722513,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,95,06/11/2020,"U.S. Bank, National Association",WA-03
"e $150,000-350,000",HOLLYWOOD SUITS INC,6420 Hollywood Blvd,Hollywood,CA,90028,448110,Corporation,Unanswered,Unanswered,Unanswered,,31,05/03/2020,"Bank of America, National Association",CA-28
"d $350,000-1 million","VOLFLEX, INC.",10920 Walnut Lane,MOKENA,IL,60448,322220,Corporation,White,Male Owned,Non-Veteran,,46,04/15/2020,Merchants and Manufacturers Bank,IL-11
"e $150,000-350,000",NORTHWOOD ASSET MANAGEMENT GROUP,235 College Parkway 200,Williamsville,NY,14221,561440,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",NY-26
"d $350,000-1 million","RBN ENERGY, LLC",2323 South Shepherd Drive Suite 1010,Houston,TX,77019,541690,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0,04/28/2020,"Capital One, National Association",TX-18
"d $350,000-1 million",C I SPORT INC,16 BROADWAY N STE 208,FARGO,ND,58102,541990,Corporation,Unanswered,Male Owned,Non-Veteran,,82,04/13/2020,Bell Bank,ND-00
"e $150,000-350,000",MARQUIS CONSTRUCTION INC,5595 DANIELS ST STE E,CHINO,CA,91710,236220,Corporation,Unanswered,Male Owned,Non-Veteran,,17,05/03/2020,"Bank of America, National Association",CA-35
"d $350,000-1 million",ADX COMMUNICATIONS OF ESCAMBIA LLC,7251 Plantation Rd,PENSACOLA,FL,32504,443142,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,41,04/12/2020,Synovus Bank,FL-01
c $1-2 million,"MN DENTISTRY, PC",281 Sanders Creek Parkway,EAST SYRACUSE,NY,13057,621210,Corporation,Unanswered,Unanswered,Unanswered,,102,04/11/2020,KeyBank National Association,NY-24
"e $150,000-350,000","LDG, INC",8601 GEORGIA AVE STE 200,SILVER SPRING,MD,20910,531390,Corporation,Unanswered,Unanswered,Unanswered,,12,04/27/2020,EagleBank,MD-08
"e $150,000-350,000",SGG MANAGEMENT LLC,5600 BOULDER HWY,LAS VEGAS,NV,89122,531110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,42,04/14/2020,"Zions Bank, A Division of",NV-03
"e $150,000-350,000",BEST PROPERTY MAINTENANCE SERVICES INC,549 NE 10TH AVE,FORT LAUDERDALE,FL,33301,561730,Corporation,Unanswered,Unanswered,Unanswered,,27,04/28/2020,Sanibel Captiva Community Bank,FL-22
"e $150,000-350,000",EXTRA SPECIAL PARENTS INC.,711 North Courthouse Road,North Chesterfield,VA,23236,624110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,44,06/05/2020,Atlantic Union Bank,VA-07
"d $350,000-1 million","GUS CONSTRUCTION CO, INC",606 MCPHERSON ST,CASEY,IA,50048,238110,Corporation,Unanswered,Unanswered,Unanswered,,36,04/07/2020,Rolling Hills Bank & Trust,IA-03
"e $150,000-350,000","DICK LANE'S OF GRAND LAKE, INC",451185 E 320 RD,AFTON,OK,74331,441222,Corporation,Unanswered,Unanswered,Unanswered,,0,04/07/2020,Arvest Bank,OK-02
"e $150,000-350,000",LYNCH CREEK QUARRY LLC,500 Kiapache Ave NE,Tacoma,WA,98422,423320,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,04/27/2020,Kitsap Bank,WA-09
"d $350,000-1 million","BNL TECHNICAL SERVICES, LLC",3250 Port of Benton Blvd,Richland,WA,99354,541330,Limited  Liability Company(LLC),Unanswered,Male Owned,Veteran,,46,04/13/2020,FirstBank,WA-04
"d $350,000-1 million",CHAMPION BRANDS LLC,1001 Golden Drive,CLINTON,MO,64735,324191,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,04/08/2020,"UMB Bank, National Association",MO-04
"e $150,000-350,000",MAVEN COMMUNICATIONS LIMITED LIABILITY COMPANY,30 Dogwood Way,Basking Ridge,NJ,08812,541810,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15,07/16/2020,Fountainhead SBF LLC,NJ-07
"e $150,000-350,000","CROP, LLC",2320 GULF GATE DR,SARASOTA,FL,34231,311411,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,49,05/03/2020,Fifth Third Bank,FL-16
"e $150,000-350,000","IGE GLASS TECHNOLOGIES, INC.",2875 Jupiter Park Drive,JUPITER,FL,33458,423840,Corporation,Unanswered,Unanswered,Unanswered,,13,04/09/2020,"TD Bank, National Association",FL-18
"e $150,000-350,000",ASSET FINANCIAL CENTER,1424 21st Street,Sacramento,CA,95811,522310,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,18,04/30/2020,Cache Valley Bank,CA-06
"e $150,000-350,000","NATIONAL ADVOCATES FOR PREGNANT WOMEN, INC.",575 8th Ave 7 TH Floor North,New York,NY,10018,813319,Corporation,Unanswered,Female Owned,Unanswered,,,05/06/2020,Radius Bank,NY-12
"e $150,000-350,000",L & C GRILL INC,4052 Main Street,Flushing,NY,11354,561110,Corporation,Unanswered,Unanswered,Unanswered,,0,05/03/2020,Cross River Bank,NY-06
c $1-2 million,UNBRIDLED SOLUTIONS LLC,1115 GRANT ST,DENVER,CO,80203,561920,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,113,04/07/2020,ANB Bank,CO-01
"e $150,000-350,000",ASHKALAID,320 CLEVELAND PL,VIRGINIA BEACH,VA,23462,238350,Corporation,Unanswered,Unanswered,Unanswered,,0,04/06/2020,Southern Bank and Trust Company,VA-02
"e $150,000-350,000",MAMATOTO VILLAGE INC-SBA SMALL 7A TERM,311 47th St. NE,Washington,DC,20019,,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,15,05/03/2020,"TD Bank, National Association",DC-00
"e $150,000-350,000",ROBINSON CONSTRUCTION GROUP LLC,532 E 770 N,OREM,UT,84097,238910,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,14,04/13/2020,"Zions Bank, A Division of",UT-03
"e $150,000-350,000","PROCAST MARBLE, INC.",1080 S Winding River Cove,SALT LAKE CITY,UT,84104,238390,Subchapter S Corporation,Hispanic,Male Owned,Non-Veteran,,25,04/15/2020,"Zions Bank, A Division of",UT-02
"d $350,000-1 million",CGS MACHINE & TOOL INC.,2750 Griffin Dr.,Bowling Green,KY,42101,332710,Corporation,Unanswered,Male Owned,Non-Veteran,,50,04/09/2020,Franklin Bank & Trust Company,KY-02
"e $150,000-350,000",CARGO LOGISTICS GROUP INC,8825 STANFORD BLVD Ste 306,COLUMBIA,MD,21045,488510,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/11/2020,"PNC Bank, National Association",MD-03
"d $350,000-1 million","SOUTHEAST READI-MIX PRODUCTS, INC.",3001 Boyd Dr.,CARLSBAD,NM,88220,327320,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,52,04/11/2020,First American Bank,NM-02
"d $350,000-1 million","ANDERSON FIRE PROTECTION, INC.",5710 Furnace Avenue Suite D,ELKRIDGE,MD,21075,238290,Corporation,Hispanic,Male Owned,Non-Veteran,,55,04/09/2020,Sandy Spring Bank,MD-03
"d $350,000-1 million","LANDMARK OF MIDWEST CITY REHABILITATION AND NURSING CENTER,",8200 NATIONAL AVE,OKLAHOMA CITY,OK,73110,623110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,78,05/20/2020,Bank Leumi USA,OK-04
"d $350,000-1 million","DESANTIS LANDSCAPES, INC",7907 State St,Salem,OR,97317,561730,Corporation,Unanswered,Unanswered,Unanswered,,95,04/10/2020,"Pioneer Trust Bank, National Association",OR-05
"e $150,000-350,000",ADENA LLC,44 SAINT TRL S,LAKELAND,MN,55043,624120,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,70,04/14/2020,"U.S. Bank, National Association",MN-04
b $2-5 million,AUTO DIRECT LLC,4248 Morse Rd,COLUMBUS,OH,43230,441110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,159,04/14/2020,Toyota Financial Savings Bank,OH-12
"d $350,000-1 million","BOXES R US, INC.",15051 DON JULIAN RD,CITY OF INDUSTRY,CA,91746,322212,Corporation,Asian,Male Owned,Non-Veteran,,90,04/10/2020,Wallis Bank,CA-32
"e $150,000-350,000",F A OTOOLE OFFICE SYSTEMS INC,350 CLUBHOUSE RD,HUNT VALLEY,MD,21031,423420,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,12,05/03/2020,"PNC Bank, National Association",MD-07
"e $150,000-350,000",EZONE 2.0 LLC,4411 NW 74TH AVE,MIAMI,FL,33195,488510,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,34,04/15/2020,Ocean Bank,FL-25
"e $150,000-350,000","TOOLE, CARTER, TISSOT & COATS, LLP",112 W 4TH ST,THE DALLES,OR,97058,541110,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,,04/27/2020,Columbia State Bank,OR-02
"d $350,000-1 million","BROOKLYN SC, LLC",6010 BAY PKWY,BROOKLYN,NY,11204,621111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,62,04/27/2020,Investors Bank,NY-10
"e $150,000-350,000","AAA DRILLING FOUNDATION, INC.",843 Southway Circle,Fort Worth,TX,76115,423830,Corporation,Unanswered,Unanswered,Unanswered,,18,04/27/2020,Grandview Bank,TX-12
"e $150,000-350,000",CESSNA TRANSPORT INC,12978 SR 685,Kenton,OH,43326,484220,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,21,04/08/2020,Liberty National Bank,OH-04
"e $150,000-350,000",JUDSON MEMORIAL CHURCH,55 Washington Sq S,New York,NY,10012,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,37,04/28/2020,"TD Bank, National Association",NY-12
"e $150,000-350,000","GREAT BASIN INSURANCE, INC.",826 Main St,KLAMATH FALLS,OR,97601,524210,Corporation,Unanswered,Unanswered,Unanswered,,22,04/27/2020,Pacific Crest Federal Credit Union,OR-02
"e $150,000-350,000","WISNOVA, INC.",5021 WASHINGTON RD,KENOSHA,WI,53144,339116,Corporation,Unanswered,Male Owned,Unanswered,,21,04/06/2020,"State Bank of the Lakes, National Association",WI-01
"e $150,000-350,000",AKELA LASER CORPORATION,"1095 Cranbury South River Rod, Suite 14",Monroe Township,NJ,08831,334510,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,8,05/20/2020,Celtic Bank Corporation,NJ-12
"e $150,000-350,000",C M M S INC,6130 INTERSTATE CIR,BLUE ASH,OH,45242,332710,Corporation,White,Male Owned,Non-Veteran,,33,04/07/2020,First Commonwealth Bank,OH-02
c $1-2 million,"AMERICAN CONTRACTORS, INC.",404 BLUERIDGE AVE,ORANGE,CA,92865,238220,Corporation,White,Male Owned,Non-Veteran,,65,04/09/2020,American Business Bank,CA-46
"e $150,000-350,000","LAYTON CLASSIC RECREATION, LLC",867 N ANGEL ST,LAYTON,UT,84041,713990,Corporation,Unanswered,Unanswered,Unanswered,,50,04/15/2020,Cross River Bank,UT-01
"e $150,000-350,000",FISHMAN & SHERIDAN MD PA,640 South Lake Street,LEESBURG,FL,34748,621320,Professional Association,Unanswered,Male Owned,Unanswered,,,04/14/2020,United Community Bank,FL-11
"e $150,000-350,000",BLACK CREEK VETERINARY HOSPITAL,4100 COUNTY ROAD 218 W,MIDDLEBURG,FL,32068,541940,Corporation,Unanswered,Male Owned,Non-Veteran,,,05/03/2020,"Wells Fargo Bank, National Association",FL-03
"e $150,000-350,000",ADULLUM INTERNATIONAL MINISTRIES,212 Adullum Rd,WETUMPKA,AL,36092,453310,Professional Association,Unanswered,Unanswered,Unanswered,,60,04/14/2020,First Community Bank of Central Alabama,AL-02
"e $150,000-350,000","MARTIN & PELLEGRIN, CPAS",103 RAMEY RD,HOUMA,LA,70360,541211,Corporation,Unanswered,Unanswered,Unanswered,,16,04/15/2020,Synergy Bank,LA-06
"e $150,000-350,000",EDENS LAND CORP,2314 S Miami Blvd,DURHAM,NC,27703,237210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,8,04/07/2020,Truist Bank d/b/a Branch Banking & Trust Co,NC-04
"e $150,000-350,000",INTERIOR WOOD OF SAN DIEGO,1215 W NUTMEG ST,SAN DIEGO,CA,92101,337212,Corporation,Unanswered,Male Owned,Non-Veteran,,15,04/29/2020,Metro Phoenix Bank,CA-53
c $1-2 million,HOSPICE OF EL PASO INC,1440 MIRACLE WAY,EL PASO,TX,79925,621610,Non-Profit Organization,White,Male Owned,Veteran,Y,118,04/10/2020,WestStar Bank,TX-16
"e $150,000-350,000",LA REINA DE LAS CARNITAS,6441 ALBEMARLE RD,CHARLOTTE,NC,28212,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,32,05/03/2020,"Bank of America, National Association",NC-12
"d $350,000-1 million",ROLLING HILLS CHRISTIAN CHURCH,800 White Rock,El Dorado Hills,CA,95762,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,40,04/14/2020,Mechanics Bank,CA-04
"e $150,000-350,000","LODGING ACCESS SYSTEMS, LLC","55 Skyline Drive Suite 2850,",Lake Mary,FL,32746,541990,Corporation,Unanswered,Unanswered,Unanswered,,0,04/28/2020,Regions Bank,FL-07
"e $150,000-350,000",N. W. MARTIN & BROTHERS INC,1531 Saint James St,Richmond,VA,23222,238160,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,24,04/15/2020,"CRF Small Business Loan Company, LLC",VA-04
"e $150,000-350,000","BR BEAVER CREEK, LLC",2745 Fairfield Commons Blvd,Beavercreek,OH,45431,722511,Partnership,Unanswered,Male Owned,Non-Veteran,,66,04/08/2020,Horizon Bank,OH-10
"e $150,000-350,000","DENNIS E. BLACK ENGINEERING, INC.",2400 PHILADELPHIA AVE,CHAMBERSBURG,PA,17201,541330,Corporation,Unanswered,Unanswered,Unanswered,,19,04/05/2020,Orrstown Bank,PA-13
"e $150,000-350,000","SCHOOLS & TOWNSEND, P.C.",9252 Mosby Street,Manassas,VA,20110,541330,Corporation,Unanswered,Male Owned,Non-Veteran,,15,04/10/2020,FVCbank,VA-10
"e $150,000-350,000",DEAN HENRY GARCIA,6322 CEDARBROOKS RD,ORANGE,CA,92867,621210,Corporation,Unanswered,Unanswered,Unanswered,,0,04/29/2020,First Horizon Bank,CA-45
"d $350,000-1 million",COMMUNITY ASSISTANCE NETWORK INC,7900 EAST BALTIMORE ST,BALTIMORE,MD,21224,813219,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,79,04/14/2020,Woodforest National Bank,MD-03
"e $150,000-350,000",THE COOKIE CART,1119 W Broadway Ave,MINNEAPOLIS,MN,55411,813410,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,28,04/11/2020,"Bremer Bank, National Association",MN-05
"d $350,000-1 million",SCOTLAND CAR YARD ENTERPRISES,807 FRANCISCO BLVD EAST,SAN RAFAEL,CA,94901,811111,Corporation,Unanswered,Unanswered,Unanswered,,32,04/27/2020,Bank of Marin,CA-02
"d $350,000-1 million",ST. LUKE'S EPISCOPAL SCHOOL OF SAN ANTONIO,15 SAINT LUKES LN,SAN ANTONIO,TX,78209,611110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,45,04/07/2020,Frost Bank,TX-21
"e $150,000-350,000",PNP MORGANTOWN LLC,1002 SUNCREST TOWN CENTRE DR,MORGANTOWN,WV,26505,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,60,04/15/2020,"PNC Bank, National Association",WV-01
