,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
15,10007.0,,,,,opp,,36467.0,covington,3344933541.0,acute care hospitals,,,surgical infection prevention,scip-card-2,,91%,11 patients,al_scip-card-2
16,10007.0,mizell memorial hospital,,,,opp,,36467.0,covington,,acute care hospitals,voluntary non-profit - private,no,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,88%,,al_scip-inf-1
17,,mizell memorial hospital,,,,opp,,36467.0,covington,3344933541.0,acute care hospitals,,no,,scip-inf-2,,91%,,
18,10007.0,,702 n main st,,,opp,al,36467.0,covington,,,,no,,,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),,,al_scip-inf-3
19,,,702 n main st,,,opp,al,36467.0,,3344933541.0,acute care hospitals,voluntary non-profit - private,no,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,0 patients,al_scip-inf-4
20,,mizell memorial hospital,,,,,,36467.0,,,acute care hospitals,voluntary non-profit - private,no,,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,,al_scip-inf-6
21,10007.0,,,,,opp,al,,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,surgical infection prevention,,,,77 patients,al_scip-vte-1
22,,mizell memorial hospital,702 n main st,,,opp,al,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,surgical infection prevention,,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,88%,76 patients,al_scip-vte-2
23,10008.0,crenshaw community hospital,101 hospital circle,,,luverne,,,crenshaw,,,government - federal,yes,,ami-1,heart attack patients given aspirin at arrival,0%,,al_ami-1
24,,,1300 south montgomery avenue,,,,al,35660.0,jefferson,2563864556.0,,government - hospital district or authority,yes,,ami-5,heart attack patients given beta blocker at discharge,86%,,al_ami-5
25,,crenshaw community hospital,,,,,,36049.0,crenshaw,3343353374.0,acute care hospitals,government - federal,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,100%,1 patients,
26,10008.0,crenshaw community hospital,,,,luverne,,36049.0,,3343353374.0,acute care hospitals,government - federal,yes,,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),,,al_ami-3
27,10008.0,crenshaw community hospital,101 hospital circle,,,,al,36049.0,crenshaw,3343353374.0,acute care hospitals,government - federal,yes,,ami-4,heart attack patients given smoking cessation advice/counseling,,0 patients,al_ami-4
28,10008.0,,101 hospital circle,,,luverne,al,36049.0,,,acute care hospitals,,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,0%,1 patients,al_ami-5
29,,crenshaw community hospital,101 hospital circle,,,luverne,,36049.0,crenshaw,3343353374.0,,government - federal,,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,,0 patients,
30,10008.0,crenshaw community hospital,,,,,al,36049.0,crenshaw,,acute care hospitals,government - federal,,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,,0 patients,
31,10008.0,,101 hospital circle,,,luverne,al,36049.0,,3343353374.0,acute care hospitals,,yes,heart failure,hf-1,heart failure patients given discharge instructions,4%,,al_hf-1
32,,,,,,luverne,al,36049.0,,,,government - federal,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,72%,39 patients,al_hf-2
33,,crenshaw community hospital,,,,,,36049.0,,3343353374.0,,,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75%,,
34,,crenshaw community hospital,,,,,,,crenshaw,,acute care hospitals,government - federal,,heart failure,hf-4,,0%,5 patients,
35,,helen keller memorial hospital,1300 south montgomery avenue,,,,,35660.0,jefferson,2563864556.0,acute care hospitals,,yes,heart attack,,,,0 patients,
36,,crenshaw community hospital,101 hospital circle,,,,al,36049.0,crenshaw,3343353374.0,acute care hospitals,government - federal,yes,pneumonia,,pneumonia patients assessed and given pneumococcal vaccination,25%,16 patients,al_pn-2
37,,crenshaw community hospital,101 hospital circle,,,luverne,,36049.0,,,,government - federal,yes,pneumonia,,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,93%,,
38,,,101 hospital circle,,,luverne,,36049.0,,3343353374.0,acute care hospitals,government - federal,yes,,,pneumonia patients given smoking cessation advice/counseling,,,
39,10008.0,crenshaw community hospital,101 hospital circle,,,luverne,al,36049.0,,3343353374.0,acute care hospitals,government - federal,,,,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,95%,,al_pn-5c
40,,,101 hospital circle,,,luverne,al,36049.0,crenshaw,3343353374.0,,government - federal,,pneumonia,,pneumonia patients given the most appropriate initial antibiotic(s),62%,,al_pn-6
41,,crenshaw community hospital,101 hospital circle,,,luverne,al,36049.0,crenshaw,3343353374.0,acute care hospitals,government - federal,yes,pneumonia,,,,,
42,,crenshaw community hospital,,,,,al,,crenshaw,3343353374.0,,government - federal,,surgical infection prevention,,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,100%,,
43,10008.0,,101 hospital circle,,,,al,,crenshaw,,acute care hospitals,government - federal,,surgical infection prevention,scip-inf-1,,100%,2 patients,al_scip-inf-1
44,10008.0,crenshaw community hospital,101 hospital circle,,,,al,36049.0,crenshaw,3343353374.0,acute care hospitals,,yes,surgical infection prevention,scip-inf-2,,,2 patients,
45,10008.0,crenshaw community hospital,,,,luverne,al,,,,,government - federal,,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),100%,2 patients,al_scip-inf-3
46,,,1300 south montgomery avenue,,,,al,35660.0,jefferson,,acute care hospitals,government - hospital district or authority,,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,,0 patients,al_ami-8a
47,10008.0,,101 hospital circle,,,,,36049.0,crenshaw,3343353374.0,acute care hospitals,government - federal,,,,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,0 patients,al_scip-inf-4
48,10008.0,crenshaw community hospital,101 hospital circle,,,luverne,,,crenshaw,3343353374.0,,government - federal,yes,,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),,,
49,10008.0,,,,,,,,,3343353374.0,,government - federal,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,100%,4 patients,al_scip-vte-1
50,10008.0,crenshaw community hospital,,,,luverne,al,36049.0,crenshaw,,acute care hospitals,government - federal,,,scip-vte-2,,,4 patients,al_scip-vte-2
51,10009.0,,201 pine street northwest,,,hartselle,al,,morgan,2567736511.0,acute care hospitals,proprietary,,heart attack,ami-1,,,,
52,10009.0,hartselle medical center,201 pine street northwest,,,hartselle,al,35640.0,morgan,,acute care hospitals,proprietary,yes,,ami-2,,100%,1 patients,al_ami-2
53,10009.0,,201 pine street northwest,,,hartselle,al,35640.0,morgan,,,proprietary,yes,heart attack,ami-3,,100%,1 patients,
54,,,201 pine street northwest,,,hartselle,al,,morgan,2567736511.0,acute care hospitals,proprietary,yes,,ami-4,,100%,2 patients,
55,10009.0,,201 pine street northwest,,,hartselle,,35640.0,morgan,,,,yes,heart attack,,,,,al_ami-5
56,10009.0,hartselle medical center,201 pine street northwest,,,,,35640.0,morgan,2567736511.0,acute care hospitals,proprietary,yes,heart attack,,,,,al_ami-7a
57,10019.0,helen keller memorial hospital,1300 south montgomery avenue,,,sheffield,,35660.0,jefferson,2563864556.0,acute care hospitals,,,,,heart failure patients given discharge instructions,80%,,al_hf-1
58,,hartselle medical center,201 pine street northwest,,,hartselle,,35640.0,,2567736511.0,acute care hospitals,proprietary,,,ami-8a,heart attack patients given pci within 90 minutes of arrival,,,
59,10009.0,hartselle medical center,201 pine street northwest,,,hartselle,al,35640.0,morgan,2567736511.0,acute care hospitals,,yes,heart failure,,heart failure patients given discharge instructions,97%,35 patients,al_hf-1
60,10009.0,hartselle medical center,,,,hartselle,al,35640.0,morgan,2567736511.0,acute care hospitals,proprietary,,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,,42 patients,
61,,hartselle medical center,,,,hartselle,,,morgan,2567736511.0,acute care hospitals,proprietary,yes,heart failure,hf-3,,,10 patients,al_hf-3
62,10009.0,hartselle medical center,,,,hartselle,al,35640.0,morgan,2567736511.0,acute care hospitals,,,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100%,12 patients,
63,10009.0,hartselle medical center,201 pine street northwest,,,,al,35640.0,,2567736511.0,,proprietary,,,,pneumonia patients assessed and given pneumococcal vaccination,98%,,al_pn-2
64,,hartselle medical center,,,,,,35640.0,morgan,2567736511.0,,proprietary,yes,pneumonia,,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,,30 patients,al_pn-3b
65,10009.0,hartselle medical center,201 pine street northwest,,,hartselle,al,35640.0,,2567736511.0,acute care hospitals,proprietary,yes,pneumonia,,,,,al_pn-4
66,10009.0,,201 pine street northwest,,,hartselle,al,,,2567736511.0,,,,,,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,98%,51 patients,al_pn-5c
67,,,201 pine street northwest,,,,al,35640.0,morgan,,,,yes,,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),100%,,al_pn-6
68,,,1300 south montgomery avenue,,,,al,35660.0,,2563864556.0,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,99%,,al_hf-2
69,10009.0,,201 pine street northwest,,,,al,35640.0,morgan,2567736511.0,acute care hospitals,proprietary,yes,,,pneumonia patients assessed and given influenza vaccination,97%,,al_pn-7
70,,,201 pine street northwest,,,,al,,,2567736511.0,acute care hospitals,,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,67%,,
71,,,201 pine street northwest,,,,,35640.0,,,,,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,,6 patients,al_scip-inf-1
72,10009.0,,201 pine street northwest,,,,al,35640.0,morgan,,acute care hospitals,,,surgical infection prevention,,surgery patients who were given the  right kind  of antibiotic to help prevent infection,57%,,
73,10009.0,,,,,,,,,2567736511.0,acute care hospitals,proprietary,yes,surgical infection prevention,,,80%,5 patients,al_scip-inf-3
74,10009.0,hartselle medical center,201 pine street northwest,,,,,,morgan,,acute care hospitals,proprietary,,surgical infection prevention,,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,0 patients,al_scip-inf-4
75,10009.0,,201 pine street northwest,,,hartselle,al,35640.0,,2567736511.0,acute care hospitals,,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),,11 patients,
76,10009.0,,201 pine street northwest,,,,al,35640.0,morgan,,acute care hospitals,proprietary,yes,surgical infection prevention,scip-vte-1,,78%,9 patients,
77,,,201 pine street northwest,,,hartselle,al,35640.0,,,acute care hospitals,proprietary,,surgical infection prevention,scip-vte-2,,78%,9 patients,
78,10010.0,,8000 alabama highway 69,,,,,,marshall,2565718000.0,,,yes,,ami-1,heart attack patients given aspirin at arrival,100%,8 patients,al_ami-1
79,,helen keller memorial hospital,,,,sheffield,al,,jefferson,2563864556.0,,,,heart failure,,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),,37 patients,al_hf-3
80,,,8000 alabama highway 69,,,guntersville,al,35976.0,marshall,,acute care hospitals,government - hospital district or authority,yes,heart attack,,heart attack patients given aspirin at discharge,100%,6 patients,al_ami-2
81,10010.0,,,,,,,,,2565718000.0,acute care hospitals,government - hospital district or authority,,heart attack,ami-3,,50%,2 patients,
82,10010.0,marshall medical center north,8000 alabama highway 69,,,guntersville,al,35976.0,marshall,2565718000.0,acute care hospitals,,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,100%,,al_ami-4
83,,marshall medical center north,,,,guntersville,,,marshall,,acute care hospitals,government - hospital district or authority,,heart attack,ami-5,heart attack patients given beta blocker at discharge,83%,,
84,,marshall medical center north,8000 alabama highway 69,,,guntersville,al,35976.0,,2565718000.0,,government - hospital district or authority,yes,heart attack,,heart attack patients given fibrinolytic medication within 30 minutes of arrival,,0 patients,al_ami-7a
85,10010.0,marshall medical center north,8000 alabama highway 69,,,guntersville,al,,,2565718000.0,,government - hospital district or authority,yes,heart attack,,,,,al_ami-8a
86,10010.0,,8000 alabama highway 69,,,guntersville,,,marshall,2565718000.0,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-1,heart failure patients given discharge instructions,93%,55 patients,
87,10010.0,marshall medical center north,8000 alabama highway 69,,,,al,35976.0,marshall,2565718000.0,acute care hospitals,,,heart failure,,heart failure patients given an evaluation of left ventricular systolic (lvs) function,,80 patients,al_hf-2
88,10010.0,marshall medical center north,,,,,al,35976.0,marshall,2565718000.0,acute care hospitals,government - hospital district or authority,yes,heart failure,,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),78%,27 patients,
89,10010.0,marshall medical center north,8000 alabama highway 69,,,guntersville,al,35976.0,,2565718000.0,acute care hospitals,government - hospital district or authority,,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100%,10 patients,
90,,,1300 south montgomery avenue,,,sheffield,al,35660.0,jefferson,2563864556.0,,,,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100%,41 patients,al_hf-4
91,10010.0,marshall medical center north,,,,guntersville,al,35976.0,marshall,2565718000.0,acute care hospitals,,yes,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,87%,,al_pn-2
92,10010.0,marshall medical center north,8000 alabama highway 69,,,guntersville,al,35976.0,marshall,2565718000.0,acute care hospitals,,yes,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,94%,,al_pn-3b
93,,,8000 alabama highway 69,,,guntersville,al,,marshall,,,government - hospital district or authority,,pneumonia,,pneumonia patients given smoking cessation advice/counseling,94%,65 patients,al_pn-4
94,10010.0,,,,,guntersville,al,,marshall,2565718000.0,acute care hospitals,government - hospital district or authority,,pneumonia,,,97%,,
95,10010.0,marshall medical center north,8000 alabama highway 69,,,guntersville,al,35976.0,marshall,,,government - hospital district or authority,yes,,pn-6,,93%,133 patients,al_pn-6
96,10010.0,marshall medical center north,,,,guntersville,al,,marshall,2565718000.0,acute care hospitals,government - hospital district or authority,,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,,,al_pn-7
97,,,,,,guntersville,al,35976.0,,2565718000.0,,government - hospital district or authority,yes,,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,86%,,al_scip-card-2
98,10010.0,marshall medical center north,8000 alabama highway 69,,,,al,35976.0,marshall,2565718000.0,acute care hospitals,government - hospital district or authority,yes,,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,95%,66 patients,
99,10010.0,marshall medical center north,8000 alabama highway 69,,,,,,marshall,,,government - hospital district or authority,yes,,,,,,al_scip-inf-2
100,,,,,,,al,35976.0,marshall,,,,yes,,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),,,al_scip-inf-3
101,,southeast alabama medical center,,,,dothan,,,,,acute care hospitals,government - hospital district or authority,yes,heart attack,,,98%,,
102,,,8000 alabama highway 69,,,guntersville,,35976.0,,,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,0 patients,al_scip-inf-4
103,,marshall medical center north,,,,guntersville,al,35976.0,,2565718000.0,acute care hospitals,,,,,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,155 patients,al_scip-inf-6
104,10010.0,marshall medical center north,,,,guntersville,al,35976.0,marshall,2565718000.0,,government - hospital district or authority,yes,surgical infection prevention,scip-vte-1,,86%,56 patients,al_scip-vte-1
105,10010.0,marshall medical center north,8000 alabama highway 69,,,,,35976.0,,2565718000.0,,government - hospital district or authority,yes,,,,84%,56 patients,
106,10011.0,,,,,birmingham,al,35235.0,,2058383122.0,,voluntary non-profit - private,yes,,ami-1,heart attack patients given aspirin at arrival,,240 patients,
107,10011.0,,,,,birmingham,al,,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,,heart attack,ami-2,,96%,295 patients,al_ami-2
108,10011.0,st vincents east,50 medical park east drive,,,,al,,,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),91%,70 patients,al_ami-3
109,10011.0,st vincents east,,,,,,35235.0,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,,heart attack,,heart attack patients given smoking cessation advice/counseling,100%,131 patients,al_ami-4
110,10011.0,st vincents east,50 medical park east drive,,,,al,35235.0,,,,,,,,,99%,288 patients,al_ami-5
111,10011.0,st vincents east,,,,,,35235.0,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,,,,,0 patients,
112,,callahan eye foundation hospital,1720 university blvd,,,,al,35233.0,jefferson,,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-2,,,,
113,10001.0,,1108 ross clark circle,,,dothan,al,36302.0,houston,,acute care hospitals,government - hospital district or authority,,,ami-2,heart attack patients given aspirin at discharge,99%,516 patients,
114,10011.0,,50 medical park east drive,,,,al,,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,,ami-8a,heart attack patients given pci within 90 minutes of arrival,85%,,al_ami-8a
115,10011.0,st vincents east,,,,birmingham,al,,jefferson,,,voluntary non-profit - private,yes,heart failure,hf-1,heart failure patients given discharge instructions,94%,316 patients,al_hf-1
116,10011.0,st vincents east,50 medical park east drive,,,birmingham,al,35235.0,jefferson,,,,yes,heart failure,,heart failure patients given an evaluation of left ventricular systolic (lvs) function,,372 patients,
117,,st vincents east,,,,,al,35235.0,jefferson,2058383122.0,acute care hospitals,,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),98%,130 patients,al_hf-3
118,10011.0,st vincents east,50 medical park east drive,,,birmingham,,35235.0,jefferson,,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100%,69 patients,al_hf-4
119,10011.0,st vincents east,50 medical park east drive,,,birmingham,al,35235.0,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-2,,87%,,
120,,st vincents east,50 medical park east drive,,,birmingham,al,35235.0,,2058383122.0,,voluntary non-profit - private,yes,,pn-3b,,96%,131 patients,al_pn-3b
121,,st vincents east,50 medical park east drive,,,birmingham,al,,,2058383122.0,acute care hospitals,,yes,pneumonia,pn-4,,100%,69 patients,al_pn-4
122,,,50 medical park east drive,,,birmingham,al,35235.0,jefferson,2058383122.0,,voluntary non-profit - private,yes,pneumonia,,,95%,135 patients,al_pn-5c
123,,,,,,birmingham,al,35235.0,,,,voluntary non-profit - private,,,,pneumonia patients given the most appropriate initial antibiotic(s),91%,112 patients,al_pn-6
124,10001.0,southeast alabama medical center,,,,dothan,al,,houston,,acute care hospitals,,yes,heart attack,,,96%,,
125,,st vincents east,,,,birmingham,,,jefferson,,,voluntary non-profit - private,yes,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,,,
126,,st vincents east,50 medical park east drive,,,,al,35235.0,,,,voluntary non-profit - private,yes,,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,83%,,al_scip-card-2
127,,st vincents east,50 medical park east drive,,,birmingham,,,,,,,,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,97%,,
128,10011.0,st vincents east,50 medical park east drive,,,,,,jefferson,,acute care hospitals,,yes,surgical infection prevention,scip-inf-2,,98%,473 patients,al_scip-inf-2
129,10011.0,st vincents east,50 medical park east drive,,,birmingham,al,35235.0,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),81%,442 patients,al_scip-inf-3
130,10011.0,,50 medical park east drive,,,birmingham,,,,2058383122.0,acute care hospitals,,,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,60%,,
131,,st vincents east,50 medical park east drive,,,birmingham,,35235.0,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,601 patients,
132,10011.0,st vincents east,50 medical park east drive,,,birmingham,al,35235.0,,,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,89%,229 patients,al_scip-vte-1
133,10011.0,st vincents east,50 medical park east drive,,,birmingham,al,35235.0,,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,,,al_scip-vte-2
134,10012.0,dekalb regional medical center,,,,fort payne,al,35968.0,de kalb,,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,100%,,al_ami-1
135,10001.0,southeast alabama medical center,1108 ross clark circle,,,dothan,al,36302.0,houston,3347938701.0,,government - hospital district or authority,,,ami-4,heart attack patients given smoking cessation advice/counseling,100%,244 patients,
136,10012.0,dekalb regional medical center,200 med center drive,,,,al,35968.0,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,,heart attack,ami-2,,95%,39 patients,al_ami-2
137,10012.0,dekalb regional medical center,,,,,al,35968.0,,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),91%,,al_ami-3
138,10012.0,dekalb regional medical center,200 med center drive,,,fort payne,al,,de kalb,2568453150.0,acute care hospitals,,yes,heart attack,,heart attack patients given smoking cessation advice/counseling,100%,14 patients,al_ami-4
139,10012.0,,,,,,,35968.0,,2568453150.0,acute care hospitals,,yes,,ami-5,heart attack patients given beta blocker at discharge,,,al_ami-5
140,,,200 med center drive,,,fort payne,al,35968.0,de kalb,2568453150.0,acute care hospitals,,yes,,,heart attack patients given fibrinolytic medication within 30 minutes of arrival,100%,1 patients,al_ami-7a
141,,dekalb regional medical center,,,,fort payne,al,35968.0,de kalb,2568453150.0,,,yes,heart attack,,heart attack patients given pci within 90 minutes of arrival,,5 patients,al_ami-8a
142,10012.0,dekalb regional medical center,200 med center drive,,,,al,35968.0,de kalb,2568453150.0,acute care hospitals,,yes,heart failure,hf-1,,,76 patients,al_hf-1
143,,,,,,,al,,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,heart failure,,,,,
144,10012.0,,200 med center drive,,,fort payne,,,,2568453150.0,,,yes,,,,,36 patients,al_hf-3
145,10012.0,dekalb regional medical center,,,,fort payne,al,35968.0,,2568453150.0,acute care hospitals,,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100%,,al_hf-4
146,10001.0,southeast alabama medical center,1108 ross clark circle,,,,al,36302.0,houston,,acute care hospitals,,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,99%,441 patients,al_ami-5
147,,dekalb regional medical center,,,,fort payne,al,35968.0,,,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,97%,,
148,10012.0,,,,,fort payne,,35968.0,de kalb,,,,yes,,,,,91 patients,al_pn-3b
149,10012.0,dekalb regional medical center,200 med center drive,,,fort payne,al,,,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-4,,,,al_pn-4
150,,dekalb regional medical center,200 med center drive,,,,al,35968.0,de kalb,,acute care hospitals,voluntary non-profit - church,,,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,99%,88 patients,
151,10012.0,dekalb regional medical center,,,,,,35968.0,de kalb,2568453150.0,,,yes,pneumonia,,pneumonia patients given the most appropriate initial antibiotic(s),88%,82 patients,
152,10012.0,,200 med center drive,,,fort payne,,35968.0,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,98%,56 patients,al_pn-7
