id,name,sponsor,event,venue,place,physical_description,notes,occasion,call_number,keywords,language,date,location,location_type,currency,currency_symbol,status
25106,,LAWRENCE R. KERR,BREAKFAST,COMMERCIAL,"WATSON HOUSE, BABYLON, L.I., N.Y.",CARD; 4.75X6;,date handwritten on back;,DAILY;,1893-103,,,1893-09-03,Lawrence R. Kerr,,,,complete
25237,,EAGLE HOTEL,DINNER,COMMERCIAL,"GETTYSBURG, PA",CARD; COL; 4.75 X 7.5;,blue stock and eagle;,,1905-436,,,1905-06-05,Eagle Hotel,,,,complete
12908,,RED STAR LINE - SS WESTERNLAND,BREAKFAST,COMMERCIAL,EN ROUTE,BROADSIDE; ILLUS; COL; 5 X 8;,all handwritten;,DAILY,1900-1049,,,1900-02-13,Red Star Line   Ss Westernland,,,,complete
33910,Hotel Astor,Hotel Astor,,,,28x11cm folded; 28x22cm open,national association of piano merchants of america,,1914-0611_wotm,,,1914-06-09,Hotel Astor,,,,complete
34697,Guildhall,Guildhall,,,,,banquet to members of the municipalities of vienna prague and ischl,,1912-0636_wotm,,,1912-01-01,Guildhall,,,,under review
34320,Ritz-Carlton,Ritz-Carlton,,,,23x16cm folded; 23x32cm open,,,1914-1022_wotm,,,1914-11-19,Ritz-Carlton,,,,complete
12632,,,,,,,,,,,,1890-01-06,"Spiers & Pond,Ld",,,,complete
25802,,UNIVERSAL FOOD AND COOKERY ASSOCIATION (NORTH OF ENGLAND BRANCH),SECOND ANNUAL DINNER,PROF;,"TILLEY'S RESTAURANT, ENGLAND",FOLDER; ILLUS; COL; 4.25X6.25;,menu in french; toasts listed;,ANNIVERSARY;,1906-924,,,1906-12-10,Universal Food And Cookery Association (North Of England Branch),,,,complete
13007,,PACIFIC MAIL STEAMSHIP COMPANY,DINNER,COM,[SS CITY OF RIO DE JANEIRO?],FOLDER; 5.5X8.5;,,DAILY,1900-3082,,,1900-05-03,Pacific Mail Steamship Company,,,,complete
28683,,Grand Central Terminal Restaurant,,,,30x23cm folded; 47x23cm open,,,1959-0044_wotm,,,1959-07-07,Grand Central Terminal Restaurant,,,,complete
31744,,The Waldorf Astoria,,,,26x18.5cm folded; 26x37cm open,dinner in honor of the foreign delegates to the second pan american financial congress given by the pan american society of the united states,,1920-0095_wotm,,,1920-01-27,The Waldorf Astoria,,,,complete
14201,,HAMBURG-AMERIKA LINIE,SUPPER,COMMERCIAL,SS FURST BISMARCK,CARD; ILLUS; COL; 5X8;,ship at sea;woman holding shield among food and implements;cityscape in background;menu in german;,DAILY;,1901-1878,,,1901-07-06,Hamburg Amerika Linie,,,,complete
13214,,SYRIAN TEMPLE,DINNER,SOC;,"CINCINNATI,OHIO",FOLDER;ILLUS; COL; 5.5 X 7;,mumm's champagne served;,[ANNUAL],1901-1514,,,1901-06-01,Syrian Temple,,,,complete
28873,,Hotel Dyckman,,,,17.5x12.5cm folded; 17.5x25.5cm open,,,1962-0070_wotm,,,1962-11-01,Hotel Dyckman,,,,complete
15592,,,,,,,,,,,,1900-05-25,Pacific Mail Steamship Co.,,,,complete
33671,The Imperial,The Imperial,,,,29x20cm,mason material dealers' exchange,,1914-0127_wotm,,,1914-01-29,The Imperial,,,,complete
28854,,76 House,,,,15x12.5cm folded; 15x15cm open,,,1962-0019_wotm,,,1962-01-01,76 House,,Dollars,$,complete
28211,,S.S. Hanseatic,,,,29.5x21cm folded; 29.5x42cm open,,,1965-0023_wotm,,,1965-03-10,S.S. Hanseatic,,,,complete
28011,,Hee Seung Fung Restaurant,,,,31.5x22cm,,,1977-0003_wotm,,,1977-01-01,Hee Seung Fung Restaurant,,Dollars,$,complete
21574,,NORDDEUTSCHER LLOYD BREMEN,BREAKFAST,COMMERCIAL,STEAMSHIP KAISER WILHELM DER GROSSER,CARD;ILL;COL;5.5X8;,german and english menu listed separately;to be used as a postcard;,DAILY;,1899-737,,,1899-11-19,Norddeutscher Lloyd Bremen,,,,complete
33802,Harrison Town Hall,Harrison Town Hall,,,,19.5x9cm folded; 19.5x18cm open,west hudson county board of trade,,1914-0259_wotm,,,1914-02-14,Harrison Town Hall,,,,complete
27699,,"CONFRERIE DE LA CHAINE DES ROTISSEURS, OKLAHOMA CHAPTER",INAUGURATION OF THE OKLAHOME CHAPTER,OTHER (PRIVATE CLUB),"OKLAHOMA CITY GOLF AND COUNTRY CLUB, OKLAHOMA CITY, OK",BOOKLET; COL; ILLUS; 9 X 12,wines with each course; menu in french;  verse by guillaume  le normanz; illuastration of grape vine; green velour cover; crest,,1968-0035,,,1968-07-01,Confrerie De La Chaine Des Rotisseurs,,,,complete
15211,,,,,,,,,,,,1900-07-01,Lackawanna Railroad,,Dollars,$,complete
16488,,,,,,,,,,,,1901-05-16,Oceanic Steamship Company,,,,complete
16773,,OCCIDENTAL & ORIENTAL STEAMSHIP CO.,BREAKFAST,COMMERCIAL,SS GAELIC,BROADSIDE; ILLUS; 5.5X8.5;,"illus, flag with o/o; hand-written;",,1900-3584,,,1900-06-09,Occidental & Oriental Steamship Co.,,,,complete
13239,,NIPPON YUSEN KAISHA - S.S. NASUGA,DINNER,COMMERCIAL,EN ROUTE,BROADSHEET; ILLUS. OF JAPANESE CHILDREN IN COLOR; 10 X 9.5;,meni handwritten in english;map on back showing route;,,1900-4516,,,1900-09-28,Nippon Yusen Kaisha   S.S. Nasuga,,,,complete
28828,,Hotel Alay,,,,22x16cm folded; 22x32cm open,"spanish, french and italian are secondary languages",,1987-0063_wotm,,,1987-01-01,Hotel Alay,,Pesetas,Pt,complete
29953,,Garden Room,,,,38.5x30.5cm,,,1949-0043_wotm,,,1949-09-21,Garden Room,,Dollars,$,complete
30029,,Toffenetti Restaurant,,,,28x21cm folded; 28x42cm open,,,1948-0036_wotm,,,1948-06-06,Toffenetti Restaurant,,Dollars,$,complete
34474,Brooklyn Club,Brooklyn Club,,,,15x12cm folded; 15x24cm open,board of real estate brokers,,1913-0097_wotm,,,1913-01-25,Brooklyn Club,,,,complete
29108,,Volk's Restaurant,,,,33.5x24cm folded; 33.5x48.5cm open,,,1961-0036_wotm,,,1961-03-20,Volk's Restaurant,,Dollars,$,complete
33142,Hotel Belmont,Hotel Belmont,,,,23.5x21.5cm,,,1917-0634_wotm,,,1917-11-22,Hotel Belmont,,Dollars,$,complete
22559,,THIRTEEN CLUB,175TH REGULAR & ANNUAL LADIES ROOF GARDEN DINNER,PROF;,"CENTRAL RESTAURANT & ROOF GARDEN,143 LIBERTY ST.NY",BOOKLET; ILLUS; COL; 5 25 X 7.5;,speakers listed; 13 signatures of table 2;,ANNUAL;,1899-473,,,1899-06-13,Thirteen Club,,,,complete
31170,,The Ambassador,,,,28x35.5cm,,,1933-0356_wotm,,,1933-06-11,The Ambassador,,Dollars,$,complete
14687,,,,,,,,,,,,1900-11-13,Del Coronadao Hotel,,,,complete
34742,Waldorf-Astoria: Grand Ball Room,Waldorf-Astoria: Grand Ball Room,,,,,the camp-fire club of america,,1912-0682_wotm,,,1912-11-05,Waldorf-Astoria: Grand Ball Room,,Dollars,$,complete
23230,,VAN NUYS,CHRISTMAS DINNER,OTHER (PRIVATE);,"LOS ANGELES,CA",BROADSIDE;COL;7X9.75;,broadside backed by crinkled paper by ribbon on top;,RELIGIOUS HOLIDAY,1899-902,,,1899-12-25,Van Nuys,,,,complete
13954,,PALACE HOTEL,DINNER,COMMERCIAL,"SAN FRANCISCO,CA",CARD;5.5X9.5,,DAILY;,1900-4836,,,1900-10-31,Palace Hotel,,,,complete
24817,,LA CHAMBRE DE COMMERCE FRANCAISE DE NEW YORK,"DINNER FOR MONSIEUR JULES CAMBON, AMBASSADEUR DE LA REPUBLIC FRANCAISE AUX ETATS-UNIS",GOVT;,DELMONICO'S,BOOKLET; ILLUS; COL; 4.5X7;,french;french & american flags on cover;,COMPLIMENTARY/TESTIMONIAL,1898-056,,,1898-01-24,La Chambre De Commerce Francaise De New York,,,,complete
20922,,TOYO KISEN KAISHA,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,BROADSHEET; ILLUS; 6.5 X 7.75;,"b&w photographs of various points of interest in america, hawaii, china;japan;",DAILY MENU;,1900-4815,,,1900-10-28,Toyo Kisen Kaisha,,,,complete
23975,,NORDDEUTSCHER LLOYD BREMEN,FRUHSTUCK,COMMERCIAL,"SCHNELLDAMPFER ""HOHENZOLLERN""",CARD; ILLUS; COL; 5.25X8;,german & english; illustration of sailboat passing before mountainous shore;,,1901-994,,,1901-04-25,Norddeutscher Lloyd Bremen,,,,complete
23048,,TAMPA BAY HOTEL,DINNER,COMMERCIAL,"TAMPA, FL",CARD; 4.75 X 7.25;,logo,,1901-185,,,1901-01-25,Tampa Bay Hotel,,,,complete
14287,,SOUTHERN RAILWAY,DINNER,COMMERCIAL,"QUEEN & CRESCENT ROUTE,DINING CAR CINCINNATI",CARD; COL; 4X5.5;,,DAILY;,1901-2553,,,1901-10-18,Southern Railway,,,,complete
31034,,Hotel Astor,,,,34x23cm,,,1933-0107_wotm,,,1933-04-03,Hotel Astor,,Dollars,$,complete
12466,,NORDDEUTSCHER LLOYD BREMEN,LUNCH;,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE;,CARD; ILLU; COL; 5.5X8.0;,"menu in german and english; illus, harbor scene with sailing vessel;",,1900-2828,,,1900-04-16,Norddeutscher Lloyd Bremen,,,,complete
32102,[Restaurant name and/or location not given],[Restaurant name and/or location not given],,,,16x11cm folded; 16x22cm open,metropolitan life insurance company,,1916-0017_wotm,,,1916-01-27,[Restaurant name and/or location not given],,,,complete
24227,,(KING LEOPOLD II OF BELGIUM AND QUEEN MARIE-HENRIETTE),DINNER,,BRUXELLES,CARD; ILL; 5.5X6;,handwritten note on back of menu named the king and queen;,,1894-061,,,1894-05-26,King Leopold Ii Of Belgium And Queen Marie Henriette,,,,complete
29593,,"R.M.S. \Queen  Mary\""""",,,,26.5x21cm folded; 26.5x42cm open,,,1955-0140_wotm,,,1955-11-27,"R.M.S. \Queen  Mary\""""",,,,complete
12918,,USMS ST LOUIS,BREAKFAST,COMMERCIAL,USMS ST LOUIS,CARD;ILL;COL;4X6.25;,flag with bird in blue upper left;,DAILY;,1900-1069,,,1900-02-14,Usms St Louis,,,,complete
12553,,OCEANIC STEAMSHIP COMPANY,LUNCH,COMMERCIAL,EN ROUTE ABOARD SS VENTURA,CARD;ILLUS; COL; 5.5 X 8.5;,card;flag;,,1901-1560,,,1901-06-07,Oceanic Steamship Company,,,,complete
20934,,NIPPON YUSEN KAISHA,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,BROADSIDE; ILLUS; COL; 5.5X7.75;,handwritten; red border;,DAILY,1900-4711,,,1900-10-16,Nippon Yusen Kaisha,,,,complete
24360,,WINDSOR HOTEL,BREAKFAST,COMMERCIAL,"JACKSONVILLE, FL",CARD; ILLUS; COL; 4.5X7.25;,sketch of hotel at top;,,1901-816,,,1901-04-01,Windsor Hotel,,,,complete
22664,,AMERICAN CHAMBER OF COMMERCE,3RD ANNUAL BANQUET,COMMERCIAL,?,FOLDER; ILLUS; 5.25 X 4.5;,menu in french; wines listed;committee members listed;,ANNIVERSARY;,1897-229,,,1897-07-05,American Chamber Of Commerce,,,,complete
29232,,Fellinis,,,,21.5x9cm folded; 21.5x35.5cm open,italian is secondary language,,1999-0001_wotm,,,1999-01-01,Fellinis,,Dollars,$,complete
34020,Childs,Childs,,,,23x20cm,,,1914-0723_wotm,,,1914-07-08,Childs,,Dollars,$,complete
34979,Burland Casino,Burland Casino,,,,,north side board of trade in the city of new york,,1913-0206_wotm,,,1913-02-20,Burland Casino,,,,complete
14678,,,,,,,,,,,,1900-05-14,Pacific Mail Steamship Co.,,,,complete
32936,Grand Central Terminal Restaurant,Grand Central Terminal Restaurant,,,,28x18cm,,,1917-0676_wotm,,,1917-11-25,Grand Central Terminal Restaurant,,Dollars,$,complete
28730,,"R.M.S. \Mauretania\""""",,,,26.5x21cm folded; 26.5x42cm open,,,1959-0091_wotm,,,1959-12-26,"R.M.S. \Mauretania\""""",,,,complete
25424,,TAMPA BAY HOTEL,LUNCH,COMMERCIAL,"TAMPA,FL",BROADSIDE;ILLUS;COL;4.5X7;,hotel emblem;,DAILY;,1901-274,,,1901-02-04,Tampa Bay Hotel,,,,complete
34480,Hotel Belleclaire,Hotel Belleclaire,,,,30x23cm folded; 30x46cm open,arctic club of america,,1913-0103_wotm,,,1913-01-25,Hotel Belleclaire,,,,complete
25078,,BERKELEY CLASS OF '91,SECOND ANNUAL REUNION,EDUC;,,FOLDER; ILL; 4X5.25;,menu in french; names listed including class poet;,ANNIVERSARY;,1893-044,,,1893-04-04,Berkeley Class Of '91,,,,complete
20064,,UNION PACIFIC R.R. CO. ET AL,SUPPER,COMMERCIAL,DINING CAR,CARD; ILLUS; COL; 5.5X7.25;,emblem; date hand written; photograph of stock yards on back;,DAILY;,1901-2363,,,1901-09-01,Union Pacific R.R. Co. Et Al,,Dollars,$,complete
26466,,La Canzone del Mare,,RESTAURANT,La Canzone del Mare,Booklet; 9.5 x 11.75 inches,dieter zander collection.,,Zander 134 undated,,,,La Canzone Del Mare,,Italian Lire,L,complete
23300,,NORDDEUTSCHER LLOYD BREMEN,SUPPER (?),COMMERCIAL,EN ROUTE ABOARD DAMPFER FRIEDRICH DER GROSSER,CARD; ILLUS; COL; 5.25 X 8;,menu in german; illustration of rocky shore and ship; back of menu set up for use as postcard;,,1901-18267,,,1901-07-03,Norddeutscher Lloyd Bremen,,,,complete
19366,,,,,,,,,,,,1901-08-24,Norddeutscher Lloyd Bremen,,,,complete
35220,Waldorf Astoria,Waldorf Astoria,,,,,"trust company section, american bankers association",,1913-0448_wotm,,,1913-05-08,Waldorf Astoria,,,,complete
14018,,NORDDEUTSCHER LLOYD - BREMEN,LUNCH,COM,"EN ROUTE -S.S. ""H.H.MEIER""",CARD; ILLUS;COL; 5.25 x 8.25;,menu in german;,,1901-1092,,,1901-04-30,Norddeutscher Lloyd   Bremen,,,,complete
23207,,TAMPA BAY HOTEL,[DINNER],COMMERCIAL,"TAMPA,FLA.",BROADSIDE; 5 X 7;,,,1901-232,,,1901-02-01,Tampa Bay Hotel,,,,complete
24141,,WALDORF-ASTORIA,BREAKFAST,COMMERCIAL,NEW YORK,CARD; 6 X 9.25,priced menu;,,1907-885,,,1907-10-16,Waldorf Astoria,,Dollars,$,complete
32119,United States Ship Wyoming,United States Ship Wyoming,,,,16x10cm,,,1916-0034_wotm,,,1916-02-22,United States Ship Wyoming,,,,complete
13148,,GORDON HOTEL,BREAKFAST,COMMERCIAL,"WASHINGTON,D.C.",BROADSIDE; ILLUS; COL; 5 X 8.5;,,DAILY,1900-3217,,,1900-05-10,Gordon Hotel,,,,complete
26645,,La Gare,,RESTAURANT,La Gare; 475 Francisco Street,Broadside; 8.75 x 16 inches,dieter zander collection.,,Zander 537,,,1971-07-09,La Gare,,Dollars,$,complete
34521,Waldorf-Astoria,Waldorf-Astoria,,,,,corinthian chapter no. 159,,1912-0705_wotm,,,1912-11-12,Waldorf-Astoria,,Dollars,$,complete
20300,,LONG BEACH HOTEL,DINNER,COMMERCIAL,"LONG BEACH, L.I, NY",BROADSIDE; ILLUS; 5X8;,hotel logo at top of menu;,,1900-3995,,,1900-08-04,Long Beach Hotel,,,,complete
32607,Wm. F. Healy's 42nd St. Grill,Wm. F. Healy's 42nd St. Grill,,,,19.5x13cm,,,1918-0340_wotm,,,1918-03-30,Wm. F. Healy's 42nd St. Grill,,,,complete
28507,,Hotel Sinton,,,,43x28cm,,,1957-0045_wotm,,,1957-04-24,Hotel Sinton,,Dollars,$,complete
13415,,HOFFMAN HOUSE,DINNER,COMMERCIAL,?,BROADSHEET; COL; 6.5 X 10.5;,prices included; complete menu in french on reverse side;,,1900-3985,,,1900-08-02,Hoffman House,,Dollars,$,complete
16011,,,,,,,,,,,,1906-12-25,Hotel Metropole,,,,complete
33179,[Restaurant name and/or location not given],[Restaurant name and/or location not given],,,,54x21.5cm,,,1917-0929_wotm,,,1917-12-14,[Restaurant name and/or location not given],,Dollars,$,complete
21087,,POLAND SPRING HOUSE,DAILY MENU,COM,"SOUTH POLAND, ME",FOLDER; ILL; COLOR; 4.5X7.25,"time of meals and arrival and departure of mails listed; hotel, grounds,and dining room illustrated; pink; two copies",,1891-103,,,1891-09-28,Poland Spring House,,,,complete
16834,,OCEANIC STEAMSHIP COMPANY,LUNCHEON,COMMERCIAL,SONOMA - SECOND CABIN,CARD; ILLUS; COL; 5.25X6.75;,steamship flag at top of menu;,,1901-1405,,,1901-05-23,Oceanic Steamship Company,,,,complete
30166,,Schaefer Center,,,,32x23.5cm folded; 32x27cm open,,,1939-0118_wotm,,,1939-05-24,Schaefer Center,,Dollars,$,complete
30270,,Waldorf Astoria,,,,28x21.5cm folded; 28x43cm open,new york credit men's association,,1939-0031_wotm,,,1939-02-07,Waldorf Astoria,,,,complete
22382,,NORDDEUTSCHER LLOYD BREMEN,LUNCH,COMMERCIAL,SS HOHENZOLLERN,CARD;ILL;COL;5.5X8.25;,ship at sea in small inset;menus separate in german and english;may be used as postcard;,DAILY;,1901-972,,,1901-04-21,Norddeutscher Lloyd Bremen,,,,complete
17060,,NORDDEUTSCHER LLOYD BREMEN,MITTAGESSEN,COMMERCIAL,"SS ""FRIEDRICH DER GROSSE""",CARD; ILLUS; COL; 5X7.5;,german only; illustration of large sailboat at sea; could possibly be meal of another class; also a postcard;,,1901-1672,,,1901-06-16,Norddeutscher Lloyd Bremen,,,,complete
24436,,SUBURBAN CLUB,JULY FOURTH DINNER,SOC;,"BALTIMORE COUNTY, MD",BOOKLET; ILLUS; COL; 9.5 X 12.25;,elaborate menu and program; tennis and baseball games; eulogies; illustration of club; red leatherette cover; crest and flag;,PATRIOTIC HOLIDAY;,1905-531,,,1905-07-04,Suburban Club,,,,complete
29050,,Le Parlement D'hiver De La Commanderie De Bordeaux,,,,30x22.5cm folded; 30x45cm open,,,1963-0008_wotm,,,1963-02-04,Le Parlement D'hiver De La Commanderie De Bordeaux,,,,complete
26169,,WASH.CHAPTER OF THE ORDER OF UNITED AMERICANS,ANNUAL DINNER,PATR;,"LYONS REST.259 BOWERY, NY",BOOKLET ILLUS;4.5X7;,,159NTH ANNIVERSARY DINNER-WASHINGTON'S BIRTHDAY,1891-024,,,1891-02-23,Wash.Chapter Of The Order Of United Americans,,,,complete
26800,,Doorm Hotel,,"HOTEL,RESTAURANT",Romance in Eis,Folder; 7.5 x 9.5 inches,dieter zander collection.,,Zander 355 undated,,,,Doorm Hotel,,Deutsche Marks,DM,complete
27601,,Norddeutscher Lloyd Bremen,Dinner,,,,,,1910-840,,,1910-03-14,Norddeutscher Lloyd Bremen,,,,complete
33216,Healy's Forty-second Street Restaurant,Healy's Forty-second Street Restaurant,,,,33x18.5cm,,,1917-0966_wotm,,,1917-12-18,Healy's Forty-second Street Restaurant,,Dollars,$,complete
26422,,Restaurants Bahnhofbuffet,,RESTAURANT,Restaurants Bahnhoffbuffet,Tri-fold; 8 x 12.5 inches folded,dieter zander collection; includes daily menu insert.,,Zander 86,,,1986-12-11,Restaurants Bahnhofbuffet,,Swiss Francs,Fr,complete
26721,,Le Cafe Chambord,Dinner,RESTAURANT,Le Cafe Chambord; 803 Thrid Avenue,Folder; 10 x 14.25 inches,dieter zander collection; cover design depicts chateau de chambord; back is a map of france.,,Zander 441 undated,,,,Le Cafe Chambord,,Dollars,$,complete
33823,[Restaurant name and/or location not given],[Restaurant name and/or location not given],,,,25x21cm folded; 25x42cm open,new york state society of the cincinnati,,1914-0280_wotm,,,1914-02-23,[Restaurant name and/or location not given],,,,complete
21137,,LONDON & NORTH WESTERN RAILWAY CO.,"DAILY MENU, LUNCHEON",COMMERCIAL,EN ROUTE,BROADSHEET; ILLUS; 4X6.5;,train route shown on back;,,1905-677,,,1905-08-23,London & North Western Railway Co.,,,,complete
19986,,OCCIDENTAL & ORIENTAL STEAMSHIP COMPANY,LUNCH,COMMERCIAL,SS DORIC,BROADSIDE;ILL;COL;5.5X8.25;,handwritten mechanically reproduced;flag;,DAILY;,1900-2914,,,1900-04-22,Occidental & Oriental Steamship Company,,,,complete
15501,,,,,,,,,,,,1901-01-01,Childs' Lunch Room,,Dollars,$,complete
21189,,GOV.ROGER WOLCOTT OF MASS;,BANQUET TO ADMIRAL GEORGE DEWEY,PATR;,"ALGONQUIN CLUB, BOSTON, MASS;",BOOKLET; ILLUS; COL; 6.5 X 8.5;,wines listed;,COMPLIMENTARY/TESTIMONIAL,1899-623,,,1899-10-14,Gov.Roger Wolcott Of Mass;,,,,under review
30088,,"[The Waldorf Astoria Hotel (New York, N.Y.)]",,,,25.5x15.5cm folded; 25.5x31,,,1943-0050_wotm,,,1943-03-02,"[The Waldorf Astoria Hotel (New York, N.Y.)]",,,,complete
22071,,BRIGGS HOUSE,THANKSGIVING DINNER,COMMERCIAL,"CHICAGO, IL",FOLDER; ILLUS; 5.5 X 7.0;,illus. veiled female figure holding wheat sheaves/scroll; verse inside front cover; hand-written notation of place;,SECULAR HOLIDAY;,1899-772,,,1899-11-30,Briggs House,,,,complete
33236,Louis Sherry,Louis Sherry,,,,26.5x15cm folded; 26.5x30cm open,,,1917-0986_wotm,,,1917-12-20,Louis Sherry,,Dollars,$,complete
22714,,FRIENDS OF MR. D. ALLEN,DINNER,SOC;,"ST. REGIS HOTEL, NEW YORK, NY",CARD; 3.75;5.5;,menu in french; spon and evnt noted by feb;,COMPLIMENTARY/TESTIMONIAL,1905-777,,,1905-10-23,Friends Of Mr. D. Allen,,,,complete
21505,,LOS ANGELES CHAMBER OF COMMERCE,ANNUAL BANQUET,PROF;,"EXHIBIT ROOM, LOS ANGELES, CA",BOOKLET; ILLUS; 5.5X8.5;,"includes wines served with each course; each menu & wine item attributed to a specific area, industry or activity; extensively illustrated with line drawing of all types of california activity; program entitled ""over the walnuts & wine;""  also includes mu",OTHER (ANNIVERSARY);,1895-091,,,1895-05-15,Los Angeles Chamber Of Commerce,,,,complete
33233,Pennsylvania Railroad,Pennsylvania Railroad,,,,26.5x15.5cm,,,1917-0983_wotm,,,1917-12-21,Pennsylvania Railroad,,Dollars,$,under review
13984,,OCEANIC STEAMSHIP CO.,DINNER-SECOND CABIN,COMMERCIAL,EN ROUTE ABOARD VENTURA,CARD; 5.5 X 7;,logo;,,1901-1473,,,1901-05-28,Oceanic Steamship Co.,,,,complete
32889,Delmonicos,Delmonicos,,,,30.5x22cm,,,1917-0191_wotm,,,1917-10-29,Delmonicos,,Dollars,$,complete
28917,,S.S. Constitution,,,,32x23cm folded; 32x47cm open,,,1962-0060_wotm,,,1962-09-01,S.S. Constitution,,,,complete
34664,Waldorf-Astoria,Waldorf-Astoria,,,,,the new york peace society,,1912-0847_wotm,,,1912-01-01,Waldorf-Astoria,,Dollars,$,complete
33430,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0169,,,1915-01-01,Waldorf Astoria,,Dollars,$,complete
32454,Wm. F. Healy's 42nd St. Grill,Wm. F. Healy's 42nd St. Grill,,,,20.5x13cm,,,1918-0060_wotm,,,1918-01-19,Wm. F. Healy's 42nd St. Grill,,Dollars,$,complete
14260,,CHATEAU FRONTENAC,DINNER,COMMERCIAL,QUEBEC [CANADA],CARD; 3.75 X 5.25;,logo; information about the tapestries in the dining room;,,1901-2015,,,1901-07-24,Chateau Frontenac,,,,complete
20982,,THE ARMY OF THE TENNESSEE,27TH REUNION,PATR;,"GRAND HOTEL, CINCINNATI OH",BOOKLET; COL; ILLUS; 5.5 X 8;,wines; music and speeches; eagle and flag in color; list of generals and battles on cover; drawing of hotel on rear cover;,OTHER (ANNIV);,1895-152,,,1895-09-17,The Army Of The Tennessee,,,,complete
27115,,"Salvatore ""Sal"" Pablo Lucia",,,,,"collection of items relating to dinners in honor of, and attended by, salvatore pablo lucia. includes several menus, illustration, personal notes, and autographs.",COMPLIMENTARY/TESTIMONIAL,Soete 192,,,1935-01-01,"Salvatore ""Sal"" Pablo Lucia",,,,complete
28074,,Park Avenue Restaurant,,,,23x32cm folded; 46x32cm open,,,1979--0008_wotm,,,1979-11-26,Park Avenue Restaurant,,Dollars,$,complete
23576,,LAWRENCE R. KERR,LUNCH,COMMERCIAL,"WATSON HOUSE, BABLON, L.I., N.Y.",CARD; 4X5;,date handwritten on back;,DAILY;,1893-104,,,1893-09-03,Watson House,,,,complete
28101,,Horn & Hardart,,,,25x20.5cm folded; 25x41cm open,,,1967-0005_wotm,,,1967-01-17,Horn & Hardart,,,,complete
